sample_index,id,title,assigned_theme,assigned_domain,assigned_confidence,audit_verdict,reason,suggested_fix
84,69deca5a4e2d2a5b77edc9af,CRITICAL GROWTH FRACTIONAL KIRCHHOFF ELLIPTIC PROBLEMS,"AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.75,incorrect,"Pure mathematical analysis of fractional Kirchhoff elliptic PDEs (existence/multiplicity of solutions) is applied mathematics, not algorithm design, ML, or computational complexity. Consistent with other audits marking pure math as out of taxonomy scope.",unclassifiable (out_of_scope: pure mathematical PDE analysis)
85,69deca5d4e2d2a5b77edce95,(title unavailable; sound-symbolic words in comics — semiotic/narrative analysis),"Social Sciences, Humanities & Management",Cultural Studies & Ethnography,0.75,correct,Qualitative interpretive analysis of meaning construction in graphic narratives fits cultural/humanities scholarship on visual media.,
86,69deca5e4e2d2a5b77edd06f,Analysis of GPRS radio channel access delay,Next-Gen Communication,Wireless Network Access & Resource Allocation,0.92,correct,Markov-chain modeling of GPRS RACH channel access delay is classic MAC-level wireless network performance analysis.,
87,69deca5e4e2d2a5b77edd13e,NUMERICAL INVESTIGATION OF AIR-BLAST PERFORMANCE OF CROSS-FILLED HONEYCOMB SANDWICH PANEL,Advanced Materials & Devices,Composite & Laminate Structures,0.75,correct,"Blast response, energy absorption, and structural performance of honeycomb sandwich composites align with composite/laminate structural analysis.",
88,69deca5f4e2d2a5b77edd229,Breaking the size constraint for nano cages using annular patchy particles,Advanced Materials & Devices,Polymer Nanocomposites & Blends,0.45,incorrect,"Colloidal patchy-particle self-assembly and nanocage phase behavior is soft-matter/nanoparticle assembly, not polymer nanocomposite or blend characterization.",Advanced Materials & Devices / Ionic Liquids & Soft Matter
89,69deca5f4e2d2a5b77edd3f3,Automatic classification and prediction models for early Parkinson's disease diagnosis from SPECT imaging,Healthcare & MedTech,Clinical AI & Medical Imaging Analytics,0.92,correct,"ML models applied to SPECT neuroimaging for Parkinson's diagnosis is a clinical medical-imaging analytics application, not a general ML-methods paper.",
90,69deca624e2d2a5b77eddaae,Optimum power from a solar thermal power plant using solar concentrators,"Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems,0.95,correct,Optimization of solar thermal collector/concentrator systems for power output is squarely in solar thermal energy engineering.,
91,69deca644e2d2a5b77edde98,Education as a determinant of response to cyclone warnings: Evidence from coastal zones in India,"Social Sciences, Humanities & Management",Development Economics & Social Welfare,0.85,correct,Empirical study linking education to disaster adaptive capacity and social outcomes in coastal India fits development economics and social welfare research.,
92,69deca654e2d2a5b77ede13e,Synthesis and characterization of methylcellulose/PVA based porous composite,Advanced Materials & Devices,Bio-based Materials & Polymers,0.92,correct,Synthesis and characterization of a renewable-source methylcellulose/PVA porous composite is bio-based polymer materials work.,
93,69deca654e2d2a5b77ede1a9,Effect of isomerization on thermal behaviour of bisitaconimides,Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,0.72,incorrect,"Bisitaconimide/biscitraconimide imide resins are polymer thermoset materials; domain is about organometallic/chalcogenide chemistry, not imide polymer thermal behavior.",Advanced Materials & Devices / Polymer Nanocomposites & Blends (or Bio-based Materials & Polymers)
94,69deca664e2d2a5b77ede46c,A dual band gysel power divider with wide band ratio,Next-Gen Communication,Antenna Design & RF Systems,0.92,correct,Dual-band Gysel power divider design is microwave/RF component engineering.,
95,6a13eb892b6042b763468678,RIS-Assisted Finite Blocklength Ambient Backscatter Communication with Non-Linear Energy Harvesting,Next-Gen Communication,Cooperative & Relay Networks,0.92,correct,RIS-assisted ambient backscatter with outage/rate analysis treats the RIS as a cooperative relay architecture; domain matches the paper's core network contribution.,
96,6a25fe8d2b6042b763867596,A Low Frequency Subpolar Gyre Signal Identified in the Atlantic Inflow to the North Sea,"Energy, Sustainability & Climate Change",Monsoon Dynamics & Regional Climate Modeling,0.75,incorrect,"North Atlantic/North Sea ocean circulation and water-mass variability is oceanography/climate dynamics, not Indian monsoon regional climate modeling as defined in the taxonomy.",unclassifiable (out_of_scope: North Atlantic ocean circulation) or Energy / Environmental Assessment & Land Use Management if forced
97,6a26be272b6042b76389b411,Epigenetic Reactions and Chromatin-lamina Interactions Synergistically Regulate the Morphology of Lamina-associated Domains,Healthcare & MedTech,Cellular & Molecular Biology,0.85,correct,"Epigenetic regulation, chromatin structure, and nuclear organization are core cellular and molecular biology.",
98,6a26be272b6042b76389b41c,FINITE ELEMENT ANALYSIS OF FORCE TRANSFER FROM WRIST TO ELBOW FOR A CRICKET PLAYER,Healthcare & MedTech,Biomechanics & Musculoskeletal Systems,0.85,correct,FEA of force transmission through upper-limb musculoskeletal structures during sport motion is biomechanics.,
99,6a26bf072b6042b76389bb88,(title unavailable; shear-flow stability / critical-layer / turbulence transition theory),"AI/ML, Supercomputing & Quantum Computing",Computational Fluid Dynamics & Flow Analysis,0.95,correct,"Stability analysis of shear flows and transition to turbulence matches taxonomy CFD examples (e.g., weakly nonlinear flow stability analysis).",
100,6a5418365ac95135d3b18824,(title unavailable; geosynthetic reinforcement for hill-road pavements review),Smart & Sustainable Infrastructure,Geotechnical Engineering & Soil Mechanics,0.85,correct,"Review of soil-geosynthetic interaction, pavement performance, and geo-hazard resilience for hill roads fits geotechnical infrastructure engineering.",
