sample_index,id,title,abstract,assigned_theme,assigned_domain,assigned_confidence,audit_verdict,theme_level_ok,reason,suggested_theme,suggested_domain
27,69deca234e2d2a5b77ed5177,Nanosilver containing grafted bamboo rayon as antibacterial material,"Antibacterial textiles are gaining attention due to awareness of health and hygiene and also the requirement of protection from pathogenic bacterias. Silver nanoparticles can be best utilized for imparting such properties. As silver nanoparticles impart characteristic brown colour to substrates, material is more suitable for coloured antibacterial products. In the current study the bamboo rayon fabric was grafted with acrylamide using potassium persulfate (KPS) as an initiator and further treated with silver nitrate followed by borohydride reduction. The modified product was characterized using FTIR, TGA and SEM. The characteristic brownish tinge developed after reduction was measured spectrophotometrically. The grafted bamboo rayon with nanosilver was then evaluated for antibacterial activity against both gram positive and gram negative bacteria and durability of their antibacterial activity after washing. The product showed antibacterial activity against both types of bacterias which was found to be durable till 50 washes. © 2012 The Korean Fiber Society and Springer Science+Business Media Dordrecht.",Advanced Materials & Devices,Bio-based Materials & Polymers,0.92,correct,yes,,,
28,69deca494e2d2a5b77eda666,Trajectory selection for robotic applications,"Finding a smooth trajectory to move an object is necessary for object manipulation in robotics and automation. Since many alternative trajectories are possible to perform a task, an evaluation scheme to suggest the best trajectory for a given- Application becomes crucial. An evaluation technique of trajectories based on some performance characteristics of trajectories, viz. minimum travel time, path length of a robot end-effector between its initial and final configurations, RMS (Root Mean Square) value of joint accelerations, RMS value of joint torques and total work done for the given motion, is presented in this paper. Upon specification of a robot geometry, maximum speed of each joint, description of a desired motion, and a set of trajectories, a systematic evaluation of each trajectory is performed to determine the optimal trajectory for the given robot.",Manufacturing & Industry 4.0,Rotor Dynamics & Vibration Analysis,0.45,incorrect,no,"Robot trajectory selection is control/optimization, not rotor dynamics.","AI/ML, Supercomputing & Quantum Computing",Control Systems & Linear Dynamical Systems
29,69deca404e2d2a5b77ed8e0a,Simulation of double Claus furnace to increase sulfur recovery and reduce the number of catalytic units in sulfur recovery units,"Sulfur compounds present in crude oil and gas are absorbed primarily in the form of acid gas (H2S and CO2) and then converted to elemental sulfur in the sulfur recovery units (SRU). To comply with the increasing environmental standards on sulfur emissions, SRUs are required to achieve Sulfur recovery efficiency ranging from 98% to 99.99%. The existing technologies for higher sulfur recovery induce very high cost additions to an already economically deficient SRU. To reduce the SRU costs, a modified thermal section is proposed in this study to increase the sulfur recovery efficiency in the relatively inexpensive Claus furnace in order to reduce the number of expensive catalytic units required to meet the environmental standards. The modified SRU is based on double-stage acid gas combustion taking place in two Claus furnaces, along with the intermediate withdrawal of sulfur and H2O exiting the first furnace. The SRU’s conventional and modified thermal sections are simulated using industrial plant data and a detailed reaction mechanism. Compared to the conventional thermal section, Sulfur recovery efficiency increased from 63% to 75% due to a shift in the Claus equilibrium reactions towards Sulfur production (2H2S + SO2 3S + 2H2O), as both H2O and sulfur were withdrawn in the modified case. To determine the overall Sulfur recovery efficiency, the 2-stage and 3-stage catalytic sections combined with the conventional or modified thermal sections were simulated. In comparison, the overall Sulfur recovery efficiency (thermal + catalytic sections) in the modified thermal section increased remarkably from 96.5% to 98% with the 2-stage and from 97.6% to 98.6% with the 3-stage catalytic units. The higher amount of sulfur captured in the modified thermal section resulted in the decreased concentrations of H2S, SO2, H2, CO and H2O in the effluent gas, which helped to reduce the processing load/requirements in catalytic units. These results will assist in providing guidelines to reduce the number of expensive catalytic units to decrease the operating cost of SRUs.",Manufacturing & Industry 4.0,Fluid-Particle Flow & Multiphase Systems,0.72,correct,yes,,,
30,69deca294e2d2a5b77ed6067,How the Aptitude of Workers Affects Construction Labor Productivity,"Aptitude is the potential to demonstrate the ability to perform a certain kind of work at a certain level. While several studies have highlighted the relationship between aptitude and employee performance, very few have tested such a relationship using empirical data, especially in the construction domain. Therefore, to address this gap, this study attempts to establish the relationship between construction workers' aptitudes and their productivity. To achieve this aim, first the aptitude of the workers was measured using a general aptitude test battery (GATB). Second, the productivity of the same workers was measured via direct observation at construction sites. Subsequently, by applying various regression models to the data collected on 112 workers, best-fit curves were developed between aptitude and observed productivity. The results revealed that the physical aptitude of the workers impacts performance more than mental aptitude. Moreover, spatial and clerical perception have a negative impact on performance. The study concludes that aptitude is an important performance indicator of any construction worker, and thus, to enhance labor productivity, contractors must ensure the availability of high-aptitude workers on site.","Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.75,correct,yes,,,
31,69deca454e2d2a5b77ed9acd,An overview on established and emerging biogas upgradation systems for improving biomethane quality,"Biogas polishing succeeding its production has become a mandate to achieve fuel quality equivalent to conventional fuels. Various physical and chemical biogas upgradation systems have been developed over the past few decades and are available commercially. However, the available technologies have their limitations with respect to the resource, costs, and energy requirements. Recently, newer methane enrichment technologies based on biological processes have emerged. The research development over these techniques has flourished because of their cost-effectiveness and energy-efficient characteristics. Thus, the biological biogas upgradation systems are expected to be developed soon, which is still under laboratory investigation. This chapter focuses on the principles of upgradation of biogas by applying the trending microbial methane enrichment, bio-electrochemical, and algal-based photosynthetic upgradation systems.","Energy, Sustainability & Climate Change",Biomass & Biofuel Technologies,0.92,correct,yes,,,
32,69deca514e2d2a5b77edb907,Impact of Workplace Spirituality on Knowledge Sharing Intention: A Conceptual Framework,"Knowledge forms a crucial source for gaining competitive advantage and its sharing a dominant challenge facing several organizations. In this paper we propose a positive role of workplace spirituality (WPS) (at individual and collective levels) on knowledge sharing intention (KSI) by employing the theory of decomposed planned behaviour. We argue that WPS with its focus on inner spirit, meaningful work, sense of interconnectedness and alignment with organizational values and mission positively strengthens an individual's knowledge sharing attitude, subjective norms and perceived behavioural controls (thereby, strengthening their KSI) by affecting the underlying behavioural, normative and control beliefs. We also take into account the role of transformational leadership (TL) in creating a pro-social working environment, which facilitates knowledge sharing. In proposing a holistic and multi-level framework linking WPS (at individual and collective levels) and TL with KSI, this paper contributes to both, knowledge sharing and WPS literatures.","Social Sciences, Humanities & Management",Digital Transformation & IT Applications,0.75,incorrect,yes,Organizational behavior framework with limited IT-system substance.,"Social Sciences, Humanities & Management",Development Economics & Social Welfare
33,6a26bf0b2b6042b76389bbae,Design of hydrodynamically lubricated a new micro-pocketed tilting pad thrust bearing based on simulated performance parameters,,Manufacturing & Industry 4.0,Tribology & Bearing Performance,0.92,borderline,yes,Title suggests tribology; missing abstract limits confidence.,Manufacturing & Industry 4.0,Tribology & Bearing Performance
34,69deca054e2d2a5b77ed06cf,Fast Dynamic Control of V2X Enabled AC Connected Level-2 EV Chargers,"AC connected level-2 Electrical Vehicle (EV) chargers are in demand due to low cost and moderate charging time. Bidirectional power carrying capability enables the chargers to carry out V2X operation. This increases the utilization of charger and EV for various ancillary services as well. Hence, such chargers may also lead to earning revenue for the user. This paper proposes 4-leg AC connected bidirectional level-2 charger with constant current (CC) and constant voltage (CV) modes of operation during charging and discharging. An algorithm is also proposed for ensuring transient-free transition from one mode to another while maintaining fast dynamic response. The proposed topology and algorithm are verified through simulations on a 15-kW charger model. Results pertaining to various modes of operation are presented to reinforce the claims.","Energy, Sustainability & Climate Change",Electric Vehicle Battery & Charging Systems,0.95,correct,yes,,,
35,69deca0e4e2d2a5b77ed1e8f,IFLL based control for PV system at adverse grid conditions,"This work proposes a control algorithm based on improved frequency locked loop (IFLL) applied to single stage grid connected solar photovoltaic (PV) system at adverse grid situations like voltage distortion, voltage swell/sag etc. The proposed IFLL control algorithm extracts the grid voltage fundamental component, under various adverse grid conditions like voltage distortion and voltage swell/sag. For a single stage system, during dynamics, a fixed gain PI (Proportional-Integral) controller doesn't provide satisfactory performance. Thus, a shuffled frog leaping algorithm tuned PI (SFLAPI) controller is used to overcome the disadvantages of PI controller with fixed gains. The VSC (Voltage Source Converter) of PV system, supplies the PV energy to the grid even under the worst situations of voltage distortion and voltage swell/ sag. An incremental conductance (INC) based MPPT (Maximum Power Point Tracking) is used for the peak power extraction from the PV array. Tests are conducted under various odd states like voltage distortion and voltage swell/sag, insolation change etc. and for the same, a prototype is built in the research laboratory. Performance of proposed system is found to be satisfactory, as recommended by the IEEE-519 and IEEE-1547 standards.","Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,0.92,correct,yes,,,
36,69deca254e2d2a5b77ed57f1,Parametric optimization of concentrated photovoltaic-thermoelectric hybrid system,"The current cutting edge in photovoltaic technology states that the conversion efficiency of photovoltaic (PV) systems has inverse relation and thermoelectric systems has direct relation with temperature. Therefore, cascading of thermoelectric (TE) systems with concentrated photovoltaic (CPV) systems has the potential to improve the total power output of CPV system by effectively utilizing the solar spectrum. The excess thermal energy of the PV system can be utilized as heat input in thermoelectric system to generate power. In this chapter, a thermodynamic model based on the first and second laws of thermodynamics for concentrated photovoltaic-thermoelectric (CPV-TE) hybrid system has been developed and analysed in a MATLAB Simulink environment. Further, the parametric optimization has been carried out to improve the overall performance of the hybrid system. The effect of concentration ratio, resistance ratio, thermal resistance between the TE module and the environment and the thermal resistance between the PV and TE modules has been discussed.","Energy, Sustainability & Climate Change",Next-Generation Photovoltaic Materials,0.85,borderline,yes,"CPV-thermoelectric chapter is system thermal analysis, not materials.","Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems
37,69deca154e2d2a5b77ed2de0,Comparative thermodynamic analysis of a direct vapor generation solar organic Rankine cycle synergistically integrated with latent heat storage for different working fluids,"This study conducts a novel thermodynamic analysis to evaluate and compare the critical thermodynamic performance metrics of a direct vapor generation-based solar organic Rankine cycle synergistically integrated with phase change material-based latent heat storage systems, utilizing two appropriately selected working fluids, R134a and R717, for critical months of January and June. The analysis is performed numerically through dynamic simulations in MATLAB. A novel ranking and selection of optimal phase change material is conducted from a set of 38 phase change materials based on seven thermophysical properties using the technique for order preference by similarity to ideal solution method. The results demonstrated that using R134a as a working fluid led to 22% and 41% higher overall system efficiency and 32% and 42% higher net electrical power outputs than R717 for January and June, respectively. In January, the system achieved a capacity utilization factor of 0.90 and 0.88 for R134a and R717, respectively. Furthermore, using R717, the system demonstrates a marginal increase and decrease of approximately 1.26% and 2% in overall evacuated tube collector efficiency compared to R134a in January and June, respectively. Barium hydroxide octahydrate attained a performance score of 0.7459, securing the top position among the 38 phase change materials. In January, during non-sunny hours, the latent heat storage system utilizing barium hydroxide octahydrate as phase change material generates 2.36 kWh and 1.83 kWh of electrical energy. In contrast, it produces 1.68 kWh and 1.03 kWh of electrical energy in June using R134a and R717, respectively.","Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems,0.92,correct,yes,,,
38,69deca354e2d2a5b77ed7a19,Sentence completion using Text Prediction systems,"Text Prediction for sentence completion is a widely used method to enhance the speed of communication as well as reducing the total time taken to compose text. This paper briefly describes the approaches, design and implementation issues involved, as well as the factors and parameters that determine effectiveness of a system. The information is then used to build a software system, capable of modeling text data, in order to generate predictions in real-time. By using a pure statistical approach, we generate N-gram models that are adaptive to users by applying instance based learning. Details of the software development method, used to prototype and iteratively build a highly effective system, are provided.","AI/ML, Supercomputing & Quantum Computing",Natural Language Processing & Information Retrieval,0.92,correct,yes,,,
39,69deca064e2d2a5b77ed09a3,Recent advances in molecular imprinting technique based fiber optic biosensors,"Selectivity or specificity of the biosensors is one of the most important requirements. In recent years, molecular imprinting technique (MIT) has become very attractive for specific sensing of analyte because of its several advantages over the bio-receptors (antibodies and enzymes) that are being used. The advantages are better temperature stability, robustness, reproducibility, high affinity, and low cost in addition to the main advantage of selectivity. Surface plasmon resonance (SPR), localized surface plasmon resonance (LSPR), lossy mode resonance (LMR), evanescent wave, fiber gratings and interferometry techniques have been widely exploited for optical sensing of analytes due to their high sensitivity. The integration of MIT with these optical techniques on optical fiber provides several advantages such as compact size, lightweight probe, online monitoring and remote sensing capability. In the last two decades, MIT based fiber optic biosensors have been developed using the aforementioned optical sensing techniques. In this review, we present recent advances in MIT based fiber optic biosensors utilizing various optical techniques. The underlying principles and applications of MIT for specific sensing and an update on recent findings and achievements have been discussed. In addition, the review includes the limitations, challenges and future directions of this technique.",Quantum Technologies & Semiconductor Technology,Plasmonic & Fiber Optic Sensors,0.92,borderline,yes,Fiber-optic biosensor review can also map to clinical biosensors.,Healthcare & MedTech,Clinical Biosensors & Point-of-Care Devices
40,69deca0b4e2d2a5b77ed16db,Effect of nozzle shape on bubble column reactor with constant flow rate,"The present investigation is focused on the bubble formation from different shaped nozzles: straight nozzle, straight converging nozzle, straight diverging nozzle, converging nozzle, and submerged nozzle, with a constant flow rate of 0.008 m/s and static contact angle of 45°, respectively. The effective dimension of the nozzle has been taken as 2 mm radius and 3 mm height. The impact of varying nozzle shapes on changes in bubble volume and the occurrence of different pinch-off times have been observed. A maximum pinch-off time of 1.854 s on straight nozzle and minimum of 0.078 s on converge nozzle with bubble volumes 111.36 mm<sup>3</sup> and 62.12 mm<sup>3</sup> was obtained. Maximum bubble volume attained from diverging nozzle was 123.21 mm<sup>3</sup> with optimum pinch-off time, which is highly useful for bioreactor application.",Manufacturing & Industry 4.0,Fluid-Particle Flow & Multiphase Systems,0.85,correct,yes,,,
41,69deca224e2d2a5b77ed5077,A methodological framework to analyze the impact of blockchain affordances on sustainable–resilient pharmaceutical supply chain performance,"Purpose – This research proposes a methodological framework to analyze the impact of blockchain technology (BT) affordances on sustainable–resilient pharmaceutical supply chain performance (SRPSCP). Design/methodology/approach – This research uses a mixed-method approach. Sustainability Development Goal#3 (SDG#3) guides the SRPSCP conceptualization. Data from academic and grey literature have been collected for the conceptual framework. Primary qualitative data from 3 groups of 4 experts (totaling 12) and secondary qualitative data from web scrawling have been collected for the analytical framework. Findings – Analysis reveals the positive and negative effects of blockchain affordances on cost. Specifically, the affordances of visibility and resilience are most effective in minimizing costs. Also, automation impacts SRPSCP the most, followed by visibility, resilience, aggregation and validation. And visibility emerges as the most influential affordance affecting reliability, while automation, aggregation, validation and resilience contribute to varying extents. Practical implications – Managers can justify the initial expenditure on BT to stakeholders by highlighting cumulative advantages and cost reductions over time. BT enabled visibility and automation, contributing highly to maintaining high service levels. BT implementation assures the reliability of pharmaceutical products, streamlines the process of recalling products and enables quick settlement of false accusations by leveraging its improved traceability. Originality/value – This work is the first to use a mix of technology affordance, network and transaction cost theory. The proposed framework can help academicians and decision-makers to explore, analyze and rationalize the impact of BT implication on PSC performance when assessed with existing non-Web 3.0 technologies.","Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.95,correct,yes,,,
42,69deca0d4e2d2a5b77ed1ba9,A non-isolated onboard charger for electric vehicle,"A non-isolated onboard charger (OBC) using the interleaved bidirectional buck/boost converter is presented in this work. The bidirectional operation of the charger enhances the serviceability of light electric vehicles (LEVs). During the peak load time, it gives the power to the grid. Moreover, it behaves as the power backup source for the home loads, i.e., vehicle to home operation (V2H). The proposed OBC operates to deliver 1kW power. The interleaved operation is implemented to lessen the ripples from the battery current.","Energy, Sustainability & Climate Change",Electric Vehicle Battery & Charging Systems,0.95,correct,yes,,,
43,69deca514e2d2a5b77edb97e,The Concept and Measure of Sukha–Dukha: An Indian Perspective on Well-Being,"Identifying the dearth of research and tools on Indian perspective on happiness, we constructed a test on the concepts of sukha and dukha, theorizing them based on various Indian ancient texts. The study was conducted in three stages: a pilot study (n = 150), a main study (n = 300), and a validation study (n = 201). The participants were mainly from urban and semiurban settings. Exploratory factor analysis revealed four factors on both the Sukha and Dukha scales. Our scales are psychometrically robust with high internal consistency (Sukha: α = 0.86; Dukha: α = 0.91). The scales also demonstrated concurrent validity, as significant negative correlations were found between dukha and the Scale of Positive and Negative Experiences–Positive (r = −0.35, p <.01) and the Flourishing Scale (r = −0.40, p <.01) and positive correlations were observed between sukha and the Scale of Positive and Negative Experiences–Positive (r = 0.53, p <.01) and the Flourishing Scale (r = 0.55, p <.01). Our proposed model also fits the data well in subsequent confirmatory factor analyses thus adding to its robustness. Our test aims to bridge the theory–data disconnect in indigenous psychology and open relevant psychology concepts embedded in the Indian theory for cross-cultural testing.","Social Sciences, Humanities & Management",Cultural Studies & Ethnography,0.78,borderline,yes,Well-being psychometrics overlaps social-welfare measurement.,"Social Sciences, Humanities & Management",Development Economics & Social Welfare
44,69deca234e2d2a5b77ed50a9,Inventory management of perishable products: A time decay linked logistic approach,"This paper proposes a logistic-based approach to a class of inventory problems with shortages and time decay functions. Time decay and shortages are a common phenomena in products with short life cycles, and financial volatility necessitates more accurate characterisation of inventory costs based on time-adjusted value. In this paper an extended approach of Wagner-Whitin (WW) is used to determine lot sizes, replenishment cycle, and schedules. A sensitivity analysis of the proposed optimisation procedure has been conducted to justify its advantages. © 2013 Copyright Taylor and Francis Group, LLC.","Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.95,correct,yes,,,
45,69deca1e4e2d2a5b77ed44d5,"Correlation of sp 3 and sp 2 fraction of carbon with electrical, optical and nano-mechanical properties of argon-diluted diamond-like carbon films","In the present work the correlation of electrical, optical and nano-mechanical properties of argon-diluted diamond-like carbon (Ar-DLC) thin films with sp <sup>3</sup> and sp <sup>2</sup> fractions of carbon have been explored. These Ar-DLC thin films have been deposited, under varying C <inf>2</inf> H <inf>2</inf> gas pressures from 25 to 75 mTorr, by radio frequency-plasma enhanced chemical vapor deposition technique. X-ray photoelectron spectroscopy studies are performed to estimate the sp <sup>3</sup> and sp <sup>2</sup> fractions of carbon by deconvoluting C 1s core level spectra. Various electrical, optical and nano-mechanical parameters such as conductivity, I-V characteristics, optical band gap, stress, hardness, elastic modulus, plastic resistance parameter, elastic recovery and plastic deformation energy have been estimated and then correlated with calculated sp <sup>3</sup> and sp <sup>2</sup> fractions of carbon and sp <sup>3</sup> /sp <sup>2</sup> ratios. Observed tremendous electrical, optical and nano-mechanical properties in Ar-DLC films deposited under high base pressure conditions made it a cost effective material for not only hard and protective coating applications but also for electronic and optoelectronic applications. © 2011 Elsevier B.V. All rights reserved.",Advanced Materials & Devices,Ion Beam & Thin Film Engineering,0.85,correct,yes,,,
46,69deca5e4e2d2a5b77edd07e,Performance evaluation of PIN + OA and APD receivers in multi-wavelength CDMA and WaCDMA networks,"In this paper, the performance of multi-wavelength optical orthogonal code division multiple access (MWOCDMA) communication network and hybrid wavelength code division multiple access (WaCDMA) network are investigated. In both the networks, transmitted signal is coupled into a dispersion shifted fiber (DSF) which in turn is coupled to either a PIN + OA or an APD receiver. The expression for probability of error for the above receiver configurations in MWOCDMA and WaCDMA networks are derived taking into consideration various sources of receiver noise, multiple user interference and four wave mixing (FWM) effects. It is observed that for a given number of users, MWOCDMA networks with PIN + OA receiver and WaCDMA networks with APD receiver are preferred to achieve a required performance. Further, the former give improved performance as compared to the latter with the level of improvement depending upon the number of users for which the network is to be designed. This is valid for all values of link loss. However, at higher values of link loss, FWM effect becomes dominant since the transmitted power is high and it leads to a smaller range of input transmitted power levels for a given number of users and performance requirement. © 2001 Published by Elsevier Science B.V.",Next-Gen Communication,"Signal Modulation, Detection & Channel Equalization",0.85,correct,yes,,,
47,69deca1c4e2d2a5b77ed3fcd,"E-cigarette use related lung disease, review of clinical and imaging findings in 3 cases","Electronic-cigarette use (vaping), has gained popularity among the young adult population, causing an alarming rise in electronic-cigarette, or vaping, product use-associated lung injury (EVALI). The specific chemical agent(s) responsible for lung injuries remains to be further investigated, but tetrahydrocannabinol, the active ingredient in marijuana, and vitamin E acetate are involved in most cases. A variety of pulmonary diseases causing different imaging findings have been described with EVALI. The clinical and imaging findings of three cases recently seen in our emergency department are reviewed.",Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.85,correct,yes,,,
48,69deca4f4e2d2a5b77edb2f7,"Lead-free (K, Na, Li) NbO3/NiFe2O4 thin films by pulsed laser deposition: Structure, dielectric, magnetic and magnetodielectric behavior","In this paper we propose the fabrication of eco-friendly (1-x) (K, Na, Li) NbO<inf>3</inf>-xNiFe<inf>2</inf>O<inf>4</inf> (KNNL-NFO) thin films on Pt/Si substrate with (x = 0.01, 0.02, 0.03, and 0.04) as target source by Pulsed Laser Deposition (PLD) technique. Structural analysis carried out by X-ray diffraction and Raman spectroscopy method confirmed the perovskite phase of KNNL and ferrite phase for NFO of the composite films. Chemical state evaluated by X-ray photoelectron spectroscopy confirmed the presence of Fe<sup>3+</sup> along with minor Fe<sup>2+</sup> ions. These films exhibit a clear magnetic hysteresis behavior and with increasing ferrite composition the saturation magnetization increases and sufficiently large room temperature magnetodielectric (MD) constant with low losses are obtained. Exchange between thermally activated charge carriers created by hole-electron pair in d-orbital satisfying Maxwell-Wagner polarization was observed during room temperature dielectric permittivity measurements. All the composite films exhibit poor saturation polarization and leakage current was found to be decrease with increasing ferrite composition. Ac conductivity plot infers hopping mechanism to be responsible for the conduction process obeying Jonscher's power law.",Advanced Materials & Devices,Ferroelectric & Magnetic Ceramics,0.92,correct,yes,,,
49,69deca3b4e2d2a5b77ed8316,Modified forward only counterpropogation network (MFOCPN) for improved color quantization by entropy based sub-clustering,"Reduction of the image colors, which is also called color quantization (CQ), has been the focus of recent research interest. It is as an integral part of various digital image related areas such as compression, segmentation etc.. Neural networks play a significant role in either assisting conventional color quantization techniques or providing standalone solutions for color quantization. In the present work three new algorithms have been proposed using modified forward only counterpropogation network (MFOCPN). These algorithms introduce, 1) sub-clustering in Kohonen layer for enhancing the clustering process, 2) a new entropy metric based initialization of the Kohonen layer for efficient color-map design and faster convergence of network. Further, the two approaches are merged, to yield third algorithm to achieve better results. The proposed algorithms have been tested on standard test image. ©2007 IEEE.","AI/ML, Supercomputing & Quantum Computing",Machine Learning & Neural Networks,0.92,correct,yes,,,
50,69dec9f74e2d2a5b77ece862,Use of microwave radiometry for monitoring the alpine environment,Variations of physical parameters which may affect the monitoring of Alpine environment using miocrowave radiometry are discussed in the present paper. We consider four different models of snow surfaces in the Alpine regions and have study the nature of variations observed by the passive radiometric device. Usually the air-snow interface is considered for evaluating radiometric response. It is shown that this assumption is not strictly valid and a transition interface is formed due to changes in the atmospheric variations over the snow covered Alpine surface. Radiometric implications of remote sensing in the frequency range of 3-37 GHz are discussed. -Authors,"Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management,0.72,correct,yes,,,
